Question,Answer
how do i add new attendance type configuration for an employee ?,"in the employee profile , under the attendance type section, press the ""add new configuration"" button and fill in the required information then press save ."
how do i delete an  attendance type configuration from an employee profile ?,"in the employee profile, under the attendance type section, press ""delete"" button next to the attendance type configuration."
how do i view employee shifts from the employee profile ?,"in the employee profile, navigate and find the work calendar section."
how do i change employee shifts from employee profile ?,"in the employee profile, navigate and find the work calendar section, then press change shift button and modify the desired information then press save."
how do i request a new annual leave ?,"in the employee profile, press ""new request"" button then choose a  date in the future and ""Annual leave "" from request type field then press save. "
how do i request a new emergency  annual leave ?,"in the employee profile, press ""new request"" button then choose a date in the past  and ""Annual leave "" from request type field then press save. "
how do i request a new permission  ?,"in the employee profile, press ""new request"" button then choose date and ""permission   "" from request type field then press save. "
how do i request a new work remotely request ?,"in the employee profile, press ""new request"" button then choose date and ""work remotely"" from request type field then press save. "
how do i request a new unpaid leaves  ?,"in the employee profile, press ""new request"" button then choose date and ""unpaid leaves "" from request type field then press save. "
how do i request a new expense claim  ?,"in the employee profile, press ""new request"" button then choose date and ""Expense claim "" from request type field then fill the required information then  press save. "
how do i request bereavement  leave?,Employee cant request bereavement leaves as it a custom leave and must have a manager request if for them on behalf.
what is request on behalf ?,its a feature that allows managers to submit requests for their employees
how do i request hajj leaves ?,Employee cant request hajj leaves as it a custom leave and must have a manager request if for them on behalf.
how do i request study leaves ?,Employee cant request study leaves as it a custom leave and must have a manager request if for them on behalf.
how do i request maternity leaves ?,Employee cant request maternity  leaves as it a custom leave and must have a manager request if for them on behalf.
how do i request sabbatical leaves ?,Employee cant request sabbatical leaves as it a custom leave and must have a manager request if for them on behalf.
how do i request marriage leaves ?,Employee cant request marriage  leaves as it a custom leave and must have a manager request if for them on behalf.
how do i request in lieu of work leaves ?,Employee cant request in lieu of work day leave as it a custom leave and must have a manager request if for them on behalf.
how do i request ignore exception ?,you can request ignore exception on an exceptional assignment by going to your profile and selecting new request button and then selecting the dat e of the exceptional assignment and then choose ignore exception from the leaves type section.
what is annual leave balance ?,"annual leave balance  is the allowed amount of leaves the user can request from and the default values are as follows : 29 total leaves and 6 emergency leaves, you can change the values in the corresponding leave and break profile ."
What is Mawared Hr System ?,"Easy and Reliable tool to manage you diverse work force\nusing location tracking, customizable employee profiles,\ntracking of employees' attendance, breaks, penalties And\nleaves."
what kind of features does mawared support ?,"time and attendance tracking, payroll management, employee self - service, performance management, talent management, compliance and reporting and many more."
what is your purpose ?,support and answer  users questions as best as i can.
What is time and attendance tracking ?,a feature that uses real time tracking of employee attendance to ensure best quality
how can i track employee attendance?,using time and attendance tracking feature
what is payroll management ?,"a feature that automates complex payroll calculations, integrating penalties, bonuses, overtime requests, and deductions to ensure accurate salary payments"
what are payroll management features ?,"you can view base salary, allowances, bonuses, overtime, loans, penalties, insurances and deductions."
What is employee self-service in Mawared?,"Employee self-service is a feature that allows employees to manage their own personal information, view payroll details, request leaves, and access other HR-related services without needing to go through HR personnel."
How do I reset my password on Mawared?,Navigate to the login page and click on 'Forgot Password'. Enter your registered email address and follow the instructions sent to your email to reset your password.
what are claims ?,a feature that allows employee to submit expense claims for sums of money they have previously spent onbehalf of the company from thier own pocket money
How does Mawared handle performance management?,"Mawared's performance management feature includes tools for setting performance goals, conducting performance reviews, and tracking progress. Managers can provide feedback and employees can view their performance metrics."
What kind of compliance and reporting features does Mawared offer?,"Mawared offers compliance and reporting features that help ensure your organization adheres to labor laws and regulations. It includes automated reports, audit trails, and alerts for compliance-related issues."
What is talent management in Mawared?,"Talent management in Mawared involves features that support recruitment, onboarding, training, and development of employees. It helps in identifying and nurturing the skills and talents of employees."
How can managers track employee performance?,"Managers can track employee performance using the performance management tools within Mawared, which include performance reviews, goal tracking, and feedback mechanisms."
Can I access Mawared from my mobile device?,"Yes, Mawared is accessible from mobile devices. You can download the Mawared app from the App Store or Google Play, or use the mobile-optimized website."
What is the purpose of the notifications in Mawared?,"Notifications in Mawared alert you to important events such as leave approvals, payroll updates, upcoming deadlines, and company announcements."
How can I submit feedback about the Mawared system?,"To submit feedback, go to the 'Help' or 'Support' section of the Mawared portal, and fill out the feedback form provided. You can also contact customer support directly."
Can I customize the dashboard in Mawared?,"Yes, you can customize the dashboard to display the information most relevant to you by adding, removing, or rearranging widgets as needed."
What languages does the Mawared HR System support?,"Mawared HR System supports multiple languages including English, Arabic, Urdu, Hindi and Bengali"
How can I view my remaining leave balance?,"To view your remaining leave balance, log into your profile, navigate to the 'Leave' section, and you will see a summary of your accrued leave, used leave, and remaining leave balance."
What is the recruitment module in Mawared?,"The recruitment module in Mawared assists with managing the entire hiring process, from job posting to candidate selection, interviewing, and onboarding."
How do I set up notifications for important updates in Mawared?,"o set up notifications, navigate to the 'Settings' section, go to 'Notifications', and customize your preferences to receive alerts for important updates, requests, and deadlines."
How does Mawared ensure data security?,"Mawared ensures data security by using encryption, access controls, regular security audits, and compliance with international data protection standards."
What is an Attendance Profile?,Attendance Profile is the configuration of the employee leave policy and everything related to attendance calculation.
What are Annual Leaves?,Annual Leaves are paid days off work that the employee must request in advance.
What are the two types of leave basis?,accrued leaves are earned leaves during the year divided by 12 months and then added to the employee leave balance. Annual Based Leaves are leave balance per year added at the beginning of each year.
What are Unpaid Leaves?,Unpaid Leaves are days off work without pay in which employees retain their jobs. Each day taken as unpaid will be deducted from the salary.
What are Sick Leaves?,"Sick Leaves are paid days off work that the employee can request in case of sickness. When requesting this leave, the employee must submit a document to support their claim."
What is the Sign In Configuration?,Sign-in configurations are work timings that are applicable starting from a specific date.
What is Mawared Hr System ?,"Easy and Reliable tool to manage you diverse work force\nusing location tracking, customizable employee profiles,\ntracking of employees' attendance, breaks, penalties And\nleaves."
what kind of features does mawared support ?,"time and attendance tracking, payroll management, employee self - service, performance management, talent management, compliance and reporting and many more."
what are you ?,mawared AI assistant
what is your purpose ?,answer and support customer questions as best as i can.
What is time and attendance tracking ?,a feature that uses real time tracking of employee attendance to ensure best quality
how can i track employee attendance?,using time and attendance tracking feature
what is payroll management ?,"a feature that automates complex payroll calculations, integrating penalties, bonuses, overtime requests, and deductions to ensure accurate salary payments"
what kind of penalties does the payroll offer ?,"late sign in, missing sign out, absent and late sign-in absent"
what are payroll management features ?,"you can view base salary, allowances, bonuses, overtime, loans, penalties, insurances and deductions."
what kind of insurances ?,social and medical
how can i create new bonuses ?,by clicking the financials tab then navigating to bonus tab and press add new or you can follow the link https://app.mawared-hr.com/financials?tab=bonus
what kind of bonuses is there ?,days and fixed amounts that are calculated from salary configuration
what is a salary configuration ?,"a salary configuration is what holds the employee financial details from base salary, allowances, deductions, overtime and days of bonus and penalties"
how can i create new salary configuration ?,navigate to employees tab and navigate to the desired employee then navigate to the salary configuration tab in the middle of the employee  screen the press add new configuration.
what kind of payment intervals are there ?,"there are monthly and weekly and both support fulltime, daily and hourly intervals.  "
what is attendance history ?,a tab that provides employee history and attendance along with their sign in time and sign out time and can filter employees
what is employee actions ?,a feature that allows managers to submit actions concerning employees in bulk
what is employee documents ?,"a feature that holds and shows th documents concerning employees such as birth certificates, insurances and national IDs"
what is dashboard ?,"dashboard is the main page when you login in, it contain information about your company such as number of employees and their statuses, attendance history graphs and many more "
what are requests ?,requests are a feature where an employee can request leave or have a manager request on their behalf depending on the type of leave.
what are loan requests ?,a type of requests that the employee can either request or have requested on behalf concerning a loan of money
how to create a loan request ?,by pressing the new request button in your profile and then selecting loan requests from the dropdown menu
what are claims ?,a feature that allows employee to submit expense claims for sums of money they have previously spent for the company's sake
How do I reset my password on Mawared?,Navigate to the login page and click on 'Forgot Password'. Enter your registered email address and follow the instructions sent to your email to reset your password.
Can managers approve leave requests through Mawared?,"Yes, managers can approve leave requests through Mawared. They can access the 'Requests' section, review the leave requests, and either approve or decline them based on the company's leave policies."
How do I update my personal information in Mawared?,"To update your personal information, log into your account, navigate to the 'Profile' section, and edit the desired fields. Save your changes once you are done."
What is employee self-service in Mawared?,"Employee self-service is a feature that allows employees to manage their own personal information, view payroll details, request leaves, and access other HR-related services without needing to go through HR personnel."
How does Mawared handle performance management?,"Mawared's performance management feature includes tools for setting performance goals, conducting performance reviews, and tracking progress. Managers can provide feedback and employees can view their performance metrics."
What kind of compliance and reporting features does Mawared offer?,"Mawared offers compliance and reporting features that help ensure your organization adheres to labor laws and regulations. It includes automated reports, audit trails, and alerts for compliance-related issues."
What is talent management in Mawared?,"Talent management in Mawared involves features that support recruitment, onboarding, training, and development of employees. It helps in identifying and nurturing the skills and talents of employees."
How can managers track employee performance?,"Managers can track employee performance using the performance management tools within Mawared, which include performance reviews, goal tracking, and feedback mechanisms."
What is the employee directory in Mawared?,"The employee directory is a feature that provides a comprehensive list of all employees within the organization. It includes contact information, job titles, and department affiliations."
Can I access Mawared from my mobile device?,"Yes, Mawared is accessible from mobile devices. You can download the Mawared app from the App Store or Google Play, or use the mobile-optimized website."
How do I view my attendance records?,"To view your attendance records, log into your profile, navigate to the 'Attendance History' tab, and you will see your sign-in and sign-out times along with any attendance-related notes."
What is the purpose of the notifications in Mawared?,"Notifications in Mawared alert you to important events such as leave approvals, payroll updates, upcoming deadlines, and company announcements."
How can I submit feedback about the Mawared system?,"To submit feedback, go to the 'Help' or 'Support' section of the Mawared portal, and fill out the feedback form provided. You can also contact customer support directly."
What is the document management feature?,"he document management feature allows you to store, organize, and access important employee documents such as contracts, certificates, and IDs."
How do I view my payroll summary?,"To view your payroll summary, log into your profile, navigate to the 'Payroll' section, and you will find a detailed breakdown of your salary, including deductions, bonuses, and net pay."
What is the purpose of the announcements section in Mawared?,"The announcements section is used to communicate important company news, policy changes, and other critical updates to all employees."
Can I customize the dashboard in Mawared?,"Yes, you can customize the dashboard to display the information most relevant to you by adding, removing, or rearranging widgets as needed."
How do I check the status of my leave request?,"To check the status of your leave request, log into your profile, navigate to the 'Requests' section, and you will see the status of all your submitted requests."
What languages does the Mawared HR System support?,"he Mawared HR System supports multiple languages including English, Arabic, Hindu,bengali,Urdu"
How do I submit a complaint or issue report in Mawared?,"To submit a complaint or issue report, navigate to the 'Support' section, click on 'Submit a Complaint', fill in the necessary details, and submit the form. Your complaint will be reviewed by HR."
How can I view my remaining leave balance?,"To view your remaining leave balance, log into your profile, navigate to the 'Leave' section, and you will see a summary of your accrued leave, used leave, and remaining leave balance."
How do I access company policies in Mawared?,Company policies can be accessed by navigating to the 'Documents' section where you will find a repository of all HR and company policies available for download or viewing.
What is the recruitment module / ATS in Mawared?,"The recruitment module in Mawared is also known as Applicant Tracking System assists with managing the entire hiring process, from job posting to candidate selection, interviewing, and onboarding."
How do I view the company holiday calendar in Mawared?,"To view the company holiday calendar, navigate to the 'Calendar' section where you will find a detailed list of company holidays and other important dates."
How do I set up notifications for important updates in Mawared?,"o set up notifications, navigate to the 'Settings' section, go to 'Notifications', and customize your preferences to receive alerts for important updates, requests, and deadlines."
What types of leave can employees request through Mawared?,"Employees can request various types of leave including vacation leave, sick leave, maternity/paternity leave, and unpaid leave  depending on the company's policies."
Can I submit expense reports through Mawared?,"Yes, you can submit expense reports by navigating to the 'Expenses' section, entering the details of your expenses, and submitting them for approval."
How does Mawared ensure data security?,"Mawared ensures data security by using encryption, access controls, regular security audits, and compliance with international data protection standards."
What is the leave accrual policy in Mawared?,"The leave accrual policy in Mawared specifies how leave is accumulated over time, typically based on the number of months of service or the number of hours worked. Employees can view their accrued leave balance in the 'Leave' section."
How can I set up my work schedule in Mawared?,"To set up your work schedule, navigate to the 'Schedule' section, select 'My Schedule', enter your preferred working hours and days, and submit for approval by your manager."
What is the process for terminating an employee in Mawared?,"The process for terminating an employee involves navigating to the 'Employee Management' section, selecting the employee's profile, clicking on 'Terminate Employment', and following the prompts to complete the termination process, including finalizing payroll and returning company assets."
Can I view company announcements in Mawared?,"Yes, you can view company announcements by navigating to the 'Announcements' section on your dashboard. This section displays all recent and past announcements made by the organization."
How do I manage my team's attendance in Mawared?,"Managers can manage their team's attendance by navigating to the 'Attendance Management' section, where they can view attendance records, approve or decline leave requests, and address any attendance-related issues."
How do I manage my team's attendance in Mawared?,"Managers can manage their team's attendance by navigating to the 'Attendance Management' section, where they can view attendance records, approve or decline leave requests, and address any attendance-related issues."
How do I configure notifications for specific events in Mawared?,"To configure notifications for specific events, navigate to the 'Settings' section, select 'Notifications', and customize your preferences by selecting the events you want to be notified about, such as leave approvals, task assignments, and upcoming deadlines."
How can I view my historical payslips in Mawared?,"To view your historical payslips, log into your profile, navigate to the 'Payroll' section, select 'Payslips', and you will find a record of all your past payslips available for download or printing."
What is an Attendance Profile?,Attendance Profile is the configuration of the employee leave policy and everything related to attendance calculation.
Are employees allowed to request leaves during their probation period?,"Employees can't request leaves during their probation period. Once the probation period ends, employees will be allowed to request leaves."
What are Annual Leaves?,Annual Leaves are paid days off work that the employee must request in advance.
What is the maximum number of leaves an employee can request per year?,The maximum number of leaves an employee is allowed to request per year.
How many hours before the start of the workday must an employee submit a leave request?,Number of hours before which an employee can request an annual leave.
Are holidays and weekends included when calculating normal leave durations?,Determines whether holidays and weekends are counted when calculating the leave duration if the leave days include a weekend or a holiday.
What are the two types of leave basis?,accrued leaves are earned leaves during the year divided by 12 months and then added to the employee leave balance. Annual Based Leaves are leave balance per year added at the beginning of each year.
How is the remaining annual leave balance handled at the end of the year?,This determines how to handle the annual leave remaining balance at the end of each year.
"What does ""Rollover Remaining Balance To Next Year"" mean?",Transfers the remaining leave balance to be added to the next year's leave balance.
What happens if the remaining leave balance is set to zero?,Deducts the remaining leave balances so it becomes 0 at the end of the year.
"What does ""Annual Leaves Are Deserved Against"" mean?","Determines whether the number of leave days are divided by the total days of a year or the total number of workdays, holidays, and paid leave."
Is the rollover balance automatic or manual?,Determines whether the remaining leaves are rolled over automatically or manually.
Is there a maximum number of leaves that can be rolled over to the next year?,Maximum number of leave days that can be transferred to the next year's leave balance.
What happens to the remaining leave balance if it is converted to bonus days?,All remaining leaves will be converted to bonus days and the employee leave balance will be 0.
When is the bonus for converted leave balances paid?,Determines the month at which the bonus is paid.
What are Sick Leaves?,"Sick Leaves are paid days off work that the employee can request in case of sickness. When requesting this leave, the employee must submit a document to support their claim."
Can employees request sick leaves?,This determines if the Sick Leave Policy is applicable to employees that belong to this profile.
Are holidays and weekends included when calculating sick leave durations?,Determines whether holidays and weekends are counted when calculating the leave duration if the leave days include a weekend or a holiday.
What are Unpaid Leaves?,Unpaid Leaves are days off work without pay in which employees retain their jobs. Each day taken as unpaid will be deducted from the salary.
Can employees request unpaid leaves?,This determines if the Unpaid Leaves are allowed to employees that belong to this profile.
Are holidays and weekends included when calculating unpaid leave durations?,Determines whether holidays and weekends are counted when calculating the leave duration if the leave days include a weekend or a holiday.
Can employees request permissions for a small portion of the workday off?,Employees are allowed to request a small portion of the workday off.
What is the minimum permission duration that can be requested?,Minimum number of minutes that can be requested in a day.
How many permission requests can be made per day?,This number indicates how many multiples of the minimum number of permission durations can be requested per day.
How many permissions can be requested per month?,This number indicates how many multiples of the minimum number of permission durations can be requested per month.
Are employees allowed to take breaks during working hours?,Determines whether employees are allowed to take time off during working hours as a break.
How many break sessions are allowed per day?,Maximum number of breaks that can be requested per day.
What is the maximum duration for an individual break session?,Maximum break duration that can be requested per one session per day.
What is the maximum break duration allowed per day?,Maximum break duration that can be requested per day.
Are office holidays applied automatically?,Apply holidays automatically according to the office of each employee that belongs to this attendance profile.
"What if ""Apply Office Holidays"" is unchecked?","If ""Apply Office Holidays"" is unchecked, then new holidays should be added or an existing holiday should be selected manually and these holidays will be applied to employees that belong to this attendance profile only."
What is the Sign In Configuration?,Sign-in configurations are work timings that are applicable starting from a specific date.
Can employees take a half day off?,Determines whether employees are allowed to attend a small portion of the day or not based on the provided fields.
What determines if employees can request leaves during their probation period?,"The policy setting ""Leaves During Probation Period: Employee Can't Request Leaves During Their Probation Period"" determines this."
How are accrued leaves added to the employee leave balance?,"Accrued leaves are earned during the year, divided by 12 months, and then added to the employee leave balance."
How are annual based leaves added to the employee leave balance?,Annual based leaves are added to the leave balance at the beginning of each year.
"What does ""Settle End Of Year Annual Leave Balance"" define?","It defines how the remaining annual leave balance is managed at the end of the year, such as rolling over the balance or resetting it to zero."
"What happens to remaining leave days if ""Rollover Balance Automatically"" is enabled?",The remaining leave days are automatically transferred to the next year's leave balance.
"How does the ""Set A Maximum Number Of Leaves To Be Rolled Over To Next Year"" function?",It limits the number of leave days that can be transferred to the next year's leave balance.
"When converting remaining leave balance to bonus days, what happens to the leave balance?","The leave balance is set to zero, and the remaining leave days are converted to bonus days."
Is the month of bonus payment configurable when converting leave balances to bonus days?,"Yes, the month at which the bonus is paid is configurable."
What document is required when requesting sick leaves?,Employees must submit a document to support their claim when requesting sick leave.
How are holidays and weekends treated when calculating sick leave durations?,It is determined whether holidays and weekends are included when calculating the sick leave duration.
What is the impact of taking unpaid leaves on an employee's salary?,Each day taken as unpaid leave will be deducted from the salary.
Can employees request unpaid leaves according to this profile?,This is determined by whether the policy allows employees to request unpaid leaves.
What is the significance of including holidays and weekends when calculating leave durations?,It affects the total leave duration by either including or excluding holidays and weekends.
What defines the minimum permission duration that can be requested by employees?,"The field ""Minimum Permission Duration"" defines this."
How is the maximum number of permission requests per day calculated?,It is calculated based on the multiples of the minimum permission duration that can be requested per day.
What limits the maximum number of permission requests per month?,"The policy setting for ""Maximum No. Of Permissions Per Month"" limits this."
What determines the allowed break sessions per day?,"The number of allowed break sessions per day is determined by the field ""Number Of Allowed Break Sessions/Day."""
How is the maximum individual break session duration set?,"It is set by the policy for ""Maximum Individual Break Session Duration."""
What defines the maximum break duration allowed per day?,"The policy setting for ""Maximum Break Duration Per Day"" defines this."
How are office holidays applied to employees automatically?,"Office holidays are applied automatically according to the office of each employee that belongs to the attendance profile if the ""Apply Office Holidays"" option is checked."
"What should be done if ""Apply Office Holidays"" is not enabled?",New holidays should be added or an existing holiday should be selected manually for employees that belong to the attendance profile.
What is included in Sign In Configuration?,Sign-in configurations include work timings that are applicable starting from a specific date.
Can employees attend a small portion of the day if half-day attendance is allowed?,"Yes, employees are allowed to attend a small portion of the day based on the provided fields if the policy permits taking a half day."
"What does the field ""Payable At"" specify in the context of converting leave balances to bonus days?",It specifies the month at which the bonus for converted leave balances is paid.
"What does ""Allow Employees To Request Permissions"" entail?",It allows employees to request a small portion of the workday off.
"Why is the ""Minimum Permission Duration"" important?",It sets the smallest amount of time an employee can request off in a single permission request.
"How does ""Maximum No. Of Permission Requests Per Day"" affect employees?",It limits the number of times an employee can request permission off in a single day.
"What does ""Maximum No. Of Permissions Per Month"" regulate?",It regulates the total number of permissions an employee can request in a month.
What is the purpose of allowing employees to take breaks?,It allows employees to take short periods off during working hours for rest or personal needs.
"How does ""Number Of Allowed Break Sessions/Day"" impact an employee's workday?",It determines how many breaks an employee can take in a single workday.
"What does the ""Maximum Individual Break Session Duration"" define?",It defines the longest duration for a single break session that an employee can take.
"Why is the ""Maximum Break Duration Per Day"" important?","It sets the total maximum time that can be taken as breaks in a single day, ensuring breaks do not exceed this limit."
"What happens if the ""Apply Office Holidays"" option is checked?",Office holidays will automatically apply to employees based on their office location.
"How are holidays managed if ""Apply Office Holidays"" is unchecked?","Holidays need to be manually added or selected, and they will apply only to employees that belong to this attendance profile."
What are Sign In Configurations?,They are settings related to the specific work timings that are applicable starting from a particular date.
"What does ""Allow Employees To Take Half Day"" determine?","It determines whether employees are allowed to work only part of the day, usually half, based on specific conditions."
What impact does including holidays and weekends in leave calculations have?,It can extend the total duration of the leave if holidays and weekends are counted as part of the leave period.
What is the difference between Accrued Leaves and Annual Based Leaves?,"Accrued Leaves are earned gradually throughout the year and added monthly, whereas Annual Based Leaves are granted as a full balance at the beginning of the year."
"How does the ""Settle End Of Year Annual Leave Balance"" option affect unused leaves?","It determines whether unused leaves are rolled over to the next year, converted to bonus days, or reset to zero."
"What is the role of the ""Zero Balance"" option in leave management?",It ensures that any unused leave balance is deducted to zero at the end of the year.
"What does ""Rollover Balance Automatically"" imply for leave balance management?",It means the remaining leave balance will be automatically carried over to the next year's balance without manual intervention.
Why might an organization set a maximum number of leaves to be rolled over?,"To manage and limit the carryover of leaves, ensuring employees use their leave entitlement within the year."
"How does the ""Zero Remaining Balance And Convert To Bonus Days"" policy work?","It converts all remaining leave days at the end of the year into bonus days, and the leave balance is reset to zero."
What documentation is typically required for requesting sick leaves?,Employees must submit a medical certificate or other relevant documentation to validate their sick leave request.
"What does the field ""Include Holidays And Weekends When Calculating Sick Leave Durations"" specify?",It determines if sick leave duration calculations should include holidays and weekends.
What happens to an employee's pay when they take unpaid leave?,The pay is deducted based on the number of unpaid leave days taken.
Why might an organization allow employees to take breaks?,"To provide rest periods, improve productivity, and support employee well-being during working hours."
"What does the ""Attendance Profile"" encompass?",he Attendance Profile comprises the configuration of the employee leave policy and all aspects related to attendance calculation.
Why might an organization disallow leave requests during an employee's probation period?,It ensures that new employees focus on adapting to their roles and responsibilities without interruptions.
"How does the ""Number Of Leaves Per Year"" affect employees?",It determines the maximum number of leave days an employee can request within a year.
"What does the ""Include Holidays And Weekends When Calculating Normal Leave Durations"" option consider?",It determines whether holidays and weekends are counted towards the total duration of leave days if they fall within the requested leave period.
"What is the significance of the ""Leave Basis"" setting in leave management?",It determines how leave entitlements are calculated and added to an employee's leave balance.
"How does the ""Rollover Remaining Balance To Next Year"" option benefit employees?","It allows employees to carry forward their unused leave days to the next year, providing flexibility in utilizing accrued leave."
"What does ""Annual Leaves Are Deserved Against"" specify in leave allocation?","It defines the basis for calculating the number of leave days, whether against total calendar days or workdays excluding holidays."
What are the advantages of setting a maximum number of leaves to be rolled over?,"It helps prevent excessive accumulation of leave balances, encourages employees to take time off regularly, and ensures leave management efficiency."
"How does the ""Zero Remaining Balance And Convert To Bonus Days"" option impact leave management?",It allows organizations to incentivize employees to utilize their leave entitlements by converting unused leave into bonus days.
What are the consequences of allowing employees to request sick leaves without proper documentation?,It may lead to misuse of sick leave privileges and affect productivity and trust within the organization.
"How does the ""Unpaid Leaves"" policy affect an employee's salary?",It results in deductions from an employee's salary for the duration of the unpaid leave taken.
"What does the ""Allow Employees To Request Permissions"" feature cater to?",It enables employees to request short periods of time off during the workday for personal or non-emergency reasons.
"What is the purpose of setting a ""Minimum Permission Duration""?","It ensures that permission requests meet a minimum duration requirement, preventing frequent interruptions to workflow for minor requests."
"How does the ""Maximum No. Of Permissions Per Month"" restriction benefit workflow management?","It helps control the frequency of permission requests, ensuring that employees balance their work commitments effectively."
What is the rationale behind setting limits for the number of break sessions per day?,"It ensures that breaks are taken in moderation, minimizing disruptions to workflow while supporting employee well-being."
"How does the ""Maximum Break Duration Per Day"" setting contribute to productivity?","It prevents excessive breaks that may disrupt workflow, ensuring that employees maintain focus and productivity throughout the day."
"What role does ""Apply Office Holidays"" play in leave management?","It automates the application of office-specific holidays to employee leave entitlements, ensuring consistency and compliance with company policies."
Why might an organization choose to manually select holidays instead of applying them automatically?,It allows for customization of holidays based on specific business needs or cultural considerations that may vary across different offices or regions.
"What does the ""Sign In Configuration"" entail?","Sign In Configuration includes settings related to employees' work timings, such as start and end times, break schedules, and shift patterns."
"How does the ""Allow Employees To Take Half Day"" setting accommodate flexible work arrangements?","It provides employees with the option to work half of a regular workday, offering flexibility to balance personal and professional commitments."
"What is the purpose of the ""Employees Need To Sign In At The Start Of Each Work Day"" field?",It indicates that employees must sign in at the beginning of each workday.
"What does the ""Work Time Type"" field determine?",It determines whether work timing should be applied on Normal or Half-day basis.
"What is the ""Sign In"" field in the context of the provided information?",It refers to guidelines regarding employee attendance at the workplace.
"What does the ""Minimum Sign In Time"" field signify?",It represents the earliest time employees can sign in at.
"What happens if an employee signs in after the ""Maximum Sign In Time""?",Tardiness penalties are applied.
"What does the ""Number Of Working Hours"" field indicate?",It specifies the required number of hours from each employee for this profile.
"What is the purpose of the ""Tardiness Policy"" field?",It sets guidelines for handling employee lateness and its consequences.
"When does a minor penalty apply according to the ""Tardiness Policy""?",When employees sign in after the maximum sign-in time but within an allowed time range.
What determines whether penalties are applied for tardiness?,"The ""Apply Penalty If Employee Is Late"" field."
"How are tardiness penalties deducted according to the ""Tardiness Policy""?",They're deducted based on the number of violations made.
What is the consequence of repeated tardiness violations?,"Penalties are deducted from the employee's balance, depending on the number of violations."
What determines whether a major penalty is applied for tardiness?,"The ""Apply Major Penalty"" field in the Tardiness Policy."
How is a major penalty different from a minor penalty?,A major penalty is the maximum deduction for attending after the allowed sign-in time and after the minor penalty range.
"What does the ""Deduct From"" field in the Tardiness Policy determine?",It specifies whether penalties are deducted from annual leave balance or salary.
"How often are penalties reset according to the ""Restart Calculating Penalties From The First Violation Every"" field?",It determines whether penalties reset every Month or Year.
"What triggers a ""No Show Deduction""?",When employees do not attend without submitting a Leave Request.
"What does the ""Consider Absent If Employee Works Less Than"" field determine?",It sets the minimum number of hours employees need to work to not be considered absent.
What happens if an employee forgets to sign out?,They will be automatically signed out with no penalties applied if configured accordingly.
What determines whether a penalty is applied if an employee misses sign ing out?,"The ""Apply Penalty If Employee Misses Sign ing Out"" field."
How often are penalties reset for missing sign out?,"t depends on the configuration of the ""Restart Calculating Penalties From The First Violation Every"" field."
